timestamp,request_id,endpoint,http_method,status_code,response_time_ms,consumer,backend_service,deployment_version,region
2026-08-14T09:00:00.106,req-4e9f062dccf3ca63,/search,GET,200,334,partner-api,catalog-service,v3.1.0,us-east-1
2026-08-14T09:00:02.158,req-552a4d654ac6c758,/checkout,POST,200,52,mobile-app,payment-service,v2.4.0,us-east-1
2026-08-14T09:00:05.163,req-813f6359a5cf12d7,/cart,GET,200,16,web-app,inventory-service,v1.8.3,us-east-1
2026-08-14T09:00:05.439,req-de0169134550e42b,/login,POST,200,67,web-app,auth-service,v2.0.7,us-east-1
2026-08-14T09:00:05.975,req-1bec8a85328d3ce5,/checkout,POST,200,22,partner-api,payment-service,v2.4.0,us-east-1
2026-08-14T09:00:06.120,req-52f8060e9df39235,/cart,POST,200,174,web-app,inventory-service,v1.8.3,us-east-1
2026-08-14T09:00:06.322,req-afbc384f5c1dd6e6,/login,POST,200,42,partner-api,auth-service,v2.0.7,us-east-1
2026-08-14T09:00:06.510,req-488e2052593c16eb,/orders,GET,200,254,mobile-app,inventory-service,v1.8.3,us-east-1
2026-08-14T09:00:08.414,req-9c48a04f99c05f05,/products,GET,200,37,mobile-app,catalog-service,v3.1.0,us-east-1
2026-08-14T09:00:08.512,req-9ac6a7a4f7ca4107,/search,GET,200,143,web-app,catalog-service,v3.1.0,us-east-1
2026-08-14T09:00:10.769,req-efb61ad7be0c4528,/search,GET,200,220,mobile-app,catalog-service,v3.1.0,us-east-1
2026-08-14T09:00:10.818,req-fc5698b114de5f49,/search,GET,500,167,mobile-app,catalog-service,v3.1.0,us-east-1
2026-08-14T09:00:10.822,req-167243c341ca2b41,/search,GET,200,261,mobile-app,catalog-service,v3.1.0,us-east-1
2026-08-14T09:00:11.091,req-2f4188c20c93cbf1,/products,GET,200,24,web-app,catalog-service,v3.1.0,us-east-1
2026-08-14T09:00:11.484,req-a5096e5670dfa4a1,/search,GET,200,58,mobile-app,catalog-service,v3.1.0,us-east-1
2026-08-14T09:00:11.821,req-50aeda218b143f47,/cart,GET,200,14,mobile-app,inventory-service,v1.8.3,us-east-1
2026-08-14T09:00:12.017,req-87cd7380bf24a174,/cart,POST,200,18,web-app,inventory-service,v1.8.3,us-east-1
2026-08-14T09:00:12.182,req-94f784d31d7a2f71,/products,GET,200,46,mobile-app,catalog-service,v3.1.0,us-east-1
2026-08-14T09:00:13.528,req-1a944181a2261e49,/search,GET,200,123,web-app,catalog-service,v3.1.0,us-east-1
2026-08-14T09:00:13.645,req-46128469f5a54c73,/checkout,POST,200,191,mobile-app,payment-service,v2.4.0,us-east-1
2026-08-14T09:00:13.733,req-bb193e67cb16ed9c,/search,GET,200,121,admin-portal,catalog-service,v3.1.0,us-east-1
2026-08-14T09:00:14.409,req-0608cc79ab9fc8cd,/cart,GET,200,186,admin-portal,inventory-service,v1.8.3,us-east-1
2026-08-14T09:00:15.656,req-5818667488edffdb,/cart,POST,200,58,web-app,inventory-service,v1.8.3,us-east-1
2026-08-14T09:00:15.862,req-e1e20c3be7c960d0,/cart,GET,200,24,mobile-app,inventory-service,v1.8.3,us-east-1
2026-08-14T09:00:15.966,req-04b6fe05b77dd11d,/search,GET,200,89,web-app,catalog-service,v3.1.0,us-east-1
2026-08-14T09:00:15.977,req-50edac24db2b7014,/cart,POST,200,63,web-app,inventory-service,v1.8.3,us-east-1
2026-08-14T09:00:16.244,req-886a2fb7b0395948,/orders,GET,200,38,web-app,inventory-service,v1.8.3,us-east-1
2026-08-14T09:00:17.376,req-3bec9f0bd12205a3,/search,GET,200,74,web-app,catalog-service,v3.1.0,us-east-1
2026-08-14T09:00:18.140,req-a86b1894483c86ad,/orders,GET,200,88,web-app,inventory-service,v1.8.3,us-east-1
2026-08-14T09:00:18.247,req-7e11914a85f8791b,/cart,POST,200,111,web-app,inventory-service,v1.8.3,us-east-1
2026-08-14T09:00:18.287,req-a67ffac5626c7d4b,/login,POST,200,647,web-app,auth-service,v2.0.7,us-east-1
